자산,제외이벤트,n_loo,β_τ0.05,p_τ0.05,v_τ0.05,Δβ_0.05,β_τ0.10,p_τ0.10,v_τ0.10,Δβ_0.10,결론변화
SP500,호르무즈 위기,1645,0.01817,0.0,Risky Asset,0.00033,0.01599,0.0,Risky Asset,0.00011,✅ 동일
SP500,솔레이마니 암살,1488,0.0197,0.0,Risky Asset,0.00187,0.01665,0.0,Risky Asset,0.00077,✅ 동일
SP500,러-우 전쟁,1352,0.01386,0.0,Risky Asset,-0.00397,0.01219,0.0,Risky Asset,-0.00369,✅ 동일
SP500,이스라엘-하마스,1567,0.01817,0.0,Risky Asset,0.00034,0.01618,0.0,Risky Asset,0.0003,✅ 동일
SP500,이스라엘-이란 충돌,1528,0.01587,0.0,Risky Asset,-0.00197,0.01566,0.0,Risky Asset,-0.00022,✅ 동일
SP500,이란 전쟁,1555,0.0173,0.0,Risky Asset,-0.00054,0.01613,0.0,Risky Asset,0.00026,✅ 동일
Gold,호르무즈 위기,1645,0.00312,0.0617,비유의,-0.00286,0.00263,0.0558,비유의,-0.00127,⚠️ 판정 변화
Gold,솔레이마니 암살,1488,0.00307,0.1048,비유의,-0.00291,0.00059,0.6913,비유의,-0.0033,⚠️ 판정 변화
Gold,러-우 전쟁,1352,0.00422,0.0123,Risky Asset,-0.00176,0.00409,0.0046,Risky Asset,0.00019,✅ 동일
Gold,이스라엘-하마스,1567,0.00476,0.0068,Risky Asset,-0.00122,0.0051,0.0005,Risky Asset,0.00121,✅ 동일
Gold,이스라엘-이란 충돌,1528,0.0053,0.0026,Risky Asset,-0.00067,0.00379,0.0081,Risky Asset,-0.00011,✅ 동일
Gold,이란 전쟁,1555,0.00877,0.0001,Risky Asset,0.00279,0.00615,0.0014,Risky Asset,0.00226,✅ 동일
