window,event,event_label,asset,model,CAR,p_BMP,p_block,label
3,hormuz_crisis,호르무즈 위기,BTC,MM(NASDAQ),0.0904,0.2251,0.1264,Non-Sig
3,hormuz_crisis,호르무즈 위기,Gold,CMRM,0.0039,0.8237,0.7808,Non-Sig
3,hormuz_crisis,호르무즈 위기,TLT,MM(SP500),0.0042,0.7599,0.7124,Non-Sig
3,hormuz_crisis,호르무즈 위기,DXY,CMRM,0.0099,0.1495,0.211,Non-Sig
3,hormuz_crisis,호르무즈 위기,NASDAQ,MM(SP500),0.0075,0.3782,0.1584,Non-Sig
3,soleimani_assassination,솔레이마니 암살,BTC,MM(NASDAQ),0.0833,0.3609,0.3104,Non-Sig
3,soleimani_assassination,솔레이마니 암살,Gold,CMRM,0.026,0.264,0.186,Non-Sig
3,soleimani_assassination,솔레이마니 암살,TLT,MM(SP500),-0.0091,0.7338,0.666,Non-Sig
3,soleimani_assassination,솔레이마니 암살,DXY,CMRM,0.0028,0.7541,0.6958,Non-Sig
3,soleimani_assassination,솔레이마니 암살,NASDAQ,MM(SP500),0.0088,0.0704,0.0948,Marginal
3,russia_ukraine_invasion,러-우 전쟁,BTC,MM(NASDAQ),0.1967,0.2135,0.0268,Marginal
3,russia_ukraine_invasion,러-우 전쟁,Gold,CMRM,0.0217,0.5439,0.266,Non-Sig
3,russia_ukraine_invasion,러-우 전쟁,TLT,MM(SP500),0.0321,0.3503,0.1874,Non-Sig
3,russia_ukraine_invasion,러-우 전쟁,DXY,CMRM,0.0141,0.324,0.0568,Marginal
3,russia_ukraine_invasion,러-우 전쟁,NASDAQ,MM(SP500),0.0127,0.5822,0.2472,Non-Sig
3,israel_hamas,이스라엘-하마스,BTC,MM(NASDAQ),-0.039,0.193,0.37,Non-Sig
3,israel_hamas,이스라엘-하마스,Gold,CMRM,0.0263,0.1162,0.082,Marginal
3,israel_hamas,이스라엘-하마스,TLT,MM(SP500),0.0145,0.7746,0.5228,Non-Sig
3,israel_hamas,이스라엘-하마스,DXY,CMRM,-0.0051,0.6232,0.605,Non-Sig
3,israel_hamas,이스라엘-하마스,NASDAQ,MM(SP500),0.0001,0.9824,0.9808,Non-Sig
3,israel_iran,이스라엘-이란 충돌,BTC,MM(NASDAQ),-0.0704,0.4282,0.2862,Non-Sig
