model,variable,coef,p_value,sig,omega,alpha,beta,nu,AIC,BIC,loglik
A1: GPR_zscore,GPR_zscore_z,0.02152,0.9214,—,12.28149,0.15494,0.0,3.209,1092.51,1112.59,-540.25
A2: GPR_custom,GPR_custom_z,0.35544,0.1182,—,11.83141,0.15257,0.0,3.281,1089.07,1109.16,-538.54
A3: VIX+F&G,VIX_z,-0.02477,0.9185,—,12.89588,0.14162,0.0,3.092,1094.14,1117.57,-540.07
A3: VIX+F&G,fear_greed_lag1_z,0.11535,0.6968,—,12.89588,0.14162,0.0,3.092,1094.14,1117.57,-540.07
A4: 공식+심리,GPR_zscore_z,0.18993,0.6209,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92
A4: 공식+심리,VIX_z,-0.19792,0.6493,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92
A4: 공식+심리,fear_greed_lag1_z,0.0823,0.8184,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92
A5: 커스텀+심리,GPR_custom_z,0.39643,0.7185,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19
A5: 커스텀+심리,VIX_z,-0.178,0.7872,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19
A5: 커스텀+심리,fear_greed_lag1_z,-0.00923,0.9961,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19
