model,variable,coef,p_value,sig,omega,alpha,beta,nu,AIC,BIC,loglik,method,se,t_stat,mu
A1: GPR_zscore,GPR_zscore_z,0.02152,0.9214,—,12.28149,0.15494,0.0,3.209,1092.51,1112.59,-540.25,A: arch lib (mean-X),,,
A2: GPR_custom,GPR_custom_z,0.35544,0.1182,—,11.83141,0.15257,0.0,3.281,1089.07,1109.16,-538.54,A: arch lib (mean-X),,,
A3: VIX+F&G,VIX_z,-0.02477,0.9185,—,12.89588,0.14162,0.0,3.092,1094.14,1117.57,-540.07,A: arch lib (mean-X),,,
A3: VIX+F&G,fear_greed_lag1_z,0.11535,0.6968,—,12.89588,0.14162,0.0,3.092,1094.14,1117.57,-540.07,A: arch lib (mean-X),,,
A4: 공식+심리,GPR_zscore_z,0.18993,0.6209,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92,A: arch lib (mean-X),,,
A4: 공식+심리,VIX_z,-0.19792,0.6493,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92,A: arch lib (mean-X),,,
A4: 공식+심리,fear_greed_lag1_z,0.0823,0.8184,—,12.43807,0.14741,0.0,3.176,1095.84,1122.61,-539.92,A: arch lib (mean-X),,,
A5: 커스텀+심리,GPR_custom_z,0.39643,0.7185,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19,A: arch lib (mean-X),,,
A5: 커스텀+심리,VIX_z,-0.178,0.7872,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19,A: arch lib (mean-X),,,
A5: 커스텀+심리,fear_greed_lag1_z,-0.00923,0.9961,—,11.97051,0.14427,0.0,3.25,1092.38,1119.16,-538.19,A: arch lib (mean-X),,,
B1: GPR_zscore,GPR_zscore_z,0.91186,0.8695,—,13.08426,0.17307,0.0001,3.065,1092.14,1112.22,-540.07,B: custom MLE (variance-X) FIXED,5.54299,0.165,0.13551
B2: GPR_custom,GPR_custom_z,4.87829,0.1759,—,12.88714,0.16183,0.0001,3.231,1087.02,1107.1,-537.51,B: custom MLE (variance-X) FIXED,3.59202,1.358,0.07276
B3: VIX+F&G,VIX_z,3.50071,0.0405,*,13.29848,0.15896,0.0001,3.076,1091.07,1114.5,-538.54,B: custom MLE (variance-X) FIXED,1.69797,2.062,0.09813
B3: VIX+F&G,fear_greed_lag1_z,2.2083,0.2183,—,13.29848,0.15896,0.0001,3.076,1091.07,1114.5,-538.54,B: custom MLE (variance-X) FIXED,1.78845,1.235,0.09813
B4: 공식+심리,GPR_zscore_z,-4.90662,0.0519,.,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56,B: custom MLE (variance-X) FIXED,2.50883,-1.956,0.06593
B4: 공식+심리,VIX_z,7.55987,0.001,***,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56,B: custom MLE (variance-X) FIXED,2.2602,3.345,0.06593
B4: 공식+심리,fear_greed_lag1_z,2.3077,0.2041,—,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56,B: custom MLE (variance-X) FIXED,1.81139,1.274,0.06593
B5: 커스텀+심리,GPR_custom_z,4.83826,0.1991,—,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46,B: custom MLE (variance-X) FIXED,3.7555,1.288,0.06441
B5: 커스텀+심리,VIX_z,2.72654,0.4182,—,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46,B: custom MLE (variance-X) FIXED,3.36099,0.811,0.06441
B5: 커스텀+심리,fear_greed_lag1_z,0.39927,0.7936,—,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46,B: custom MLE (variance-X) FIXED,1.52421,0.262,0.06441
