model,variable,coef,se,t_stat,p_value,sig,mu,omega,alpha,beta,nu,AIC,BIC,loglik
B1: GPR_zscore,GPR_zscore_z,0.91186,5.54299,0.165,0.8695,—,0.13551,13.08426,0.17307,0.0001,3.065,1092.14,1112.22,-540.07
B2: GPR_custom,GPR_custom_z,4.87829,3.59202,1.358,0.1759,—,0.07276,12.88714,0.16183,0.0001,3.231,1087.02,1107.1,-537.51
B3: VIX+F&G,VIX_z,3.50071,1.69797,2.062,0.0405,*,0.09813,13.29848,0.15896,0.0001,3.076,1091.07,1114.5,-538.54
B3: VIX+F&G,fear_greed_lag1_z,2.2083,1.78845,1.235,0.2183,—,0.09813,13.29848,0.15896,0.0001,3.076,1091.07,1114.5,-538.54
B4: 공식+심리,GPR_zscore_z,-4.90662,2.50883,-1.956,0.0519,.,0.06593,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56
B4: 공식+심리,VIX_z,7.55987,2.2602,3.345,0.001,***,0.06593,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56
B4: 공식+심리,fear_greed_lag1_z,2.3077,1.81139,1.274,0.2041,—,0.06593,13.4118,0.12672,0.0001,3.124,1091.12,1117.9,-537.56
B5: 커스텀+심리,GPR_custom_z,4.83826,3.7555,1.288,0.1991,—,0.06441,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46
B5: 커스텀+심리,VIX_z,2.72654,3.36099,0.811,0.4182,—,0.06441,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46
B5: 커스텀+심리,fear_greed_lag1_z,0.39927,1.52421,0.262,0.7936,—,0.06441,12.66637,0.17864,0.0001,3.363,1088.91,1115.69,-536.46
